t,New Time,Old Time,GpsTime,err,derr
1.3658008790240002E9,12/04/2013 05:07:59 PM + 0.024000167846679688s ,12/04/2013 5:07:58 PM,10227.2382008217,1,0.02500016784667969
1.365800879049E9,12/04/2013 05:07:59 PM + 0.04900002479553223s ,12/04/2013 5:07:59 PM,10227.2632008216,0,0.0
1.3658008790740001E9,12/04/2013 05:07:59 PM + 0.07400012016296387s ,12/04/2013 5:07:59 PM,10227.2882008216,0,0.0
1.365800879099E9,12/04/2013 05:07:59 PM + 0.0989999771118164s ,12/04/2013 5:07:59 PM,10227.3132008216,0,0.0
1.365800879124E9,12/04/2013 05:07:59 PM + 0.12400007247924805s ,12/04/2013 5:07:59 PM,10227.3382008216,0,0.0
1.3658008791490002E9,12/04/2013 05:07:59 PM + 0.1490001678466797s ,12/04/2013 5:07:59 PM,10227.3632008216,0,0.0
1.365800879174E9,12/04/2013 05:07:59 PM + 0.17400002479553223s ,12/04/2013 5:07:59 PM,10227.3882008216,0,0.0
1.3658008791990001E9,12/04/2013 05:07:59 PM + 0.19900012016296387s ,12/04/2013 5:07:59 PM,10227.4132008216,0,0.0
1.365800879224E9,12/04/2013 05:07:59 PM + 0.2239999771118164s ,12/04/2013 5:07:59 PM,10227.4382008216,0,0.0
1.365800879249E9,12/04/2013 05:07:59 PM + 0.24900007247924805s ,12/04/2013 5:07:59 PM,10227.4632008216,0,0.0
1.3658008792740002E9,12/04/2013 05:07:59 PM + 0.2740001678466797s ,12/04/2013 5:07:59 PM,10227.4882008216,0,0.0
1.365800879299E9,12/04/2013 05:07:59 PM + 0.2990000247955322s ,12/04/2013 5:07:59 PM,10227.5132008216,0,0.0
1.3658008793240001E9,12/04/2013 05:07:59 PM + 0.32400012016296387s ,12/04/2013 5:07:59 PM,10227.5382008216,0,0.0
1.365800879349E9,12/04/2013 05:07:59 PM + 0.3489999771118164s ,12/04/2013 5:07:59 PM,10227.5632008216,0,0.0
1.365800879374E9,12/04/2013 05:07:59 PM + 0.37400007247924805s ,12/04/2013 5:07:59 PM,10227.5882008216,0,0.0
1.3658008793990002E9,12/04/2013 05:07:59 PM + 0.3990001678466797s ,12/04/2013 5:07:59 PM,10227.6132008216,0,0.0
1.365800879424E9,12/04/2013 05:07:59 PM + 0.4240000247955322s ,12/04/2013 5:07:59 PM,10227.6382008216,0,0.0
1.3658008794490001E9,12/04/2013 05:07:59 PM + 0.44900012016296387s ,12/04/2013 5:07:59 PM,10227.6632008216,0,0.0
1.365800879474E9,12/04/2013 05:07:59 PM + 0.4739999771118164s ,12/04/2013 5:07:59 PM,10227.6882008216,0,0.0
1.365800879499E9,12/04/2013 05:07:59 PM + 0.49900007247924805s ,12/04/2013 5:07:59 PM,10227.7132008216,0,0.0
1.3658008795240002E9,12/04/2013 05:07:59 PM + 0.5240001678466797s ,12/04/2013 5:07:59 PM,10227.7382008216,0,0.0
1.365800879549E9,12/04/2013 05:07:59 PM + 0.5490000247955322s ,12/04/2013 5:07:59 PM,10227.7632008216,0,0.0
1.3658008795740001E9,12/04/2013 05:07:59 PM + 0.5740001201629639s ,12/04/2013 5:07:59 PM,10227.7882008216,0,0.0
1.365800879599E9,12/04/2013 05:07:59 PM + 0.5989999771118164s ,12/04/2013 5:07:59 PM,10227.8132008216,0,0.0
1.365800879624E9,12/04/2013 05:07:59 PM + 0.624000072479248s ,12/04/2013 5:07:59 PM,10227.8382008216,0,0.0
